Year,AWI_AWI-CM-1-1-MR_r1i1p1f1,CAS_FGOALS-g3_r1i1p1f1,CCCma_CanESM5_r1i1p1f1,CMCC_CMCC-CM2-SR5_r1i1p1f1,CNRM-CERFACS_CNRM-CM6-1-HR_r1i1p1f2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,CNRM-CERFACS_CNRM-ESM2-1_r1i1p1f2,CSIRO-ARCCSS_ACCESS-CM2_r1i1p1f1,EC-Earth-Consortium_EC-Earth3-AerChem_r1i1p1f1,INM_INM-CM4-8_r1i1p1f1,INM_INM-CM5-0_r1i1p1f1,IPSL_IPSL-CM5A2-INCA_r1i1p1f1,IPSL_IPSL-CM6A-LR_r1i1p1f1,MIROC_MIROC6_r1i1p1f1,MIROC_MIROC-ES2L_r1i1p1f2,MOHC_UKESM1-0-LL_r1i1p1f2,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,MRI_MRI-ESM2-0_r1i1p1f1,NCAR_CESM2-WACCM_r1i1p1f1,NCC_NorESM2-MM_r1i1p1f1,NIMS-KMA_KACE-1-0-G_r1i1p1f1,NOAA-GFDL_GFDL-ESM4_r1i1p1f1
1850,0.00955,0.1579,0.09293,0.00689,0.04346,0.07957,0.09259,0.10378,-0.02425,0.0598,0.05641,0.25777,-0.21447,-0.08835,-0.07821,-0.06185,-0.04268,0.0571,-0.0596,0.111,-0.04147,-0.08237
1851,-0.03335,-0.04768,-0.16048,0.06388,-0.02573,0.03394,0.27273,0.11354,0.1047,0.03542,0.02866,0.1661,-0.03325,-0.12622,0.08074,-0.05315,-0.06191,0.10956,-0.24344,0.13086,-0.07097,-0.16805
1852,-0.02439,0.02186,-0.08938,-0.0685,0.01637,0.01168,0.1978,0.26984,0.06019,0.05641,-0.00422,0.05726,-0.04389,-0.10349,0.00727,0.0533,-0.05532,0.02889,-0.11983,0.02639,-0.02209,0.04044
1853,0.03438,0.02998,0.06258,0.21209,0.053,0.02239,0.0657,0.16574,-0.02648,0.04151,0.0354,0.06784,0.03098,-0.05119,-0.17635,0.10132,0.29333,-0.07487,-0.1821,-0.00449,0.02559,0.08704
1854,0.21346,-0.02353,-0.07591,0.16521,0.04037,0.02584,0.06632,0.23462,0.03664,0.00768,0.02002,0.2597,0.126,0.21178,-0.16247,0.02356,0.15864,-0.11529,-0.20024,0.25821,-0.05575,-0.12294
1855,0.21961,-0.06275,-0.12673,0.16581,0.11992,0.00516,-0.21198,0.00773,0.13593,-0.02207,0.09191,0.08191,0.03682,0.31603,0.07175,-0.10441,0.01489,0.06464,-0.04216,0.25714,0.01043,-0.19783
1856,0.04717,-0.07822,-0.07713,0.25705,0.00504,0.03611,-0.04499,0.03655,0.02645,0.05713,0.07193,0.00091,0.16127,-0.14732,0.05412,0.08989,-0.05076,0.06381,0.04723,-0.09227,0.02207,0.02746
1857,-0.08246,-0.10114,-0.08456,0.28352,-0.01354,0.18042,0.0434,0.09638,0.06762,0.04957,0.07816,0.19802,0.12014,-0.10319,0.1045,0.10885,0.02783,-0.00721,0.03281,-0.12193,0.0246,0.0769
1858,0.02959,-0.03773,-0.10744,0.23503,-0.08625,0.14984,-0.12998,0.01232,0.10722,0.05156,0.07106,-0.05213,0.05765,-0.06005,0.02555,0.09062,0.01633,-0.02645,-0.14949,-0.12697,-0.01243,-0.08244
1859,0.04986,0.14412,0.01927,0.15227,-0.00096,0.09195,0.16971,0.12436,0.04854,-0.03706,0.05807,-0.07012,0.17426,0.07562,0.00194,0.13064,0.06818,0.14546,-0.009,-0.09916,0.07517,-0.03216
